"Project","RelativePath","SHA256","Length","DuplicateCount","CanonicalArchive"
"Apex","00_Coordination\Context_Migration_From_Aura.md","86D3DD5126FDD15E8A15FC3FA95C06AFFDB1646E1A15D748E02B9FC96B2F708D","5685","3","Agent/99_Legacy_Context/Raw_Markdown/Apex/00_Coordination/Context_Migration_From_Aura.md"
"Apex","00_Coordination\Current_Code_Design.md","532E3B5CF6ED00F1A119CA08D850EAE1B806B60A38C6667AAAC33D1DE3ECC674","9133","1","Agent/99_Legacy_Context/Raw_Markdown/Apex/00_Coordination/Current_Code_Design.md"
"Apex","00_Coordination\Current_Phase.md","715AD2C86D9B0DC20F5B1FBC40781802CD1A9C55A0952D0058970C5BF0B13780","3468","1","Agent/99_Legacy_Context/Raw_Markdown/Apex/00_Coordination/Current_Phase.md"
"Apex","00_Coordination\Current_UE_Manual_Steps.md","C3216A803DE2F011CC75089D6CB89EF89A779F271EA1EA976318DB3BC4B1104E","9392","1","Agent/99_Legacy_Context/Raw_Markdown/Apex/00_Coordination/Current_UE_Manual_Steps.md"
"Apex","00_Coordination\Decision_Log.md","5899B5F485EE7B112F9B8C1DFB3D266F9CA26967A9EC6031AED2138D48688F85","22126","1","Agent/99_Legacy_Context/Raw_Markdown/Apex/00_Coordination/Decision_Log.md"
"Apex","00_Coordination\Git_Workflow.md","3E03BDDF398D11069096DAFFD736FF6A588EFF1F9568455CC4F1EB0B10043439","2077","1","Agent/99_Legacy_Context/Raw_Markdown/Apex/00_Coordination/Git_Workflow.md"
"Apex","00_Coordination\Project_Roadmap.md","43536819D2AEBA722775426790716F2F2A160D8977C5830C764AC0ECAB5BF831","3746","1","Agent/99_Legacy_Context/Raw_Markdown/Apex/00_Coordination/Project_Roadmap.md"
"Apex","00_Coordination\Session_Summary.md","1CE511399D8B4E765834BCB290F27EADB3F867116F20963B35E31F3502EE5071","3253","1","Agent/99_Legacy_Context/Raw_Markdown/Apex/00_Coordination/Session_Summary.md"
"Apex","00_Coordination\Skill_MCP_Catalog.md","B6D89A3560877688642E458E0D1D3D94F75311D639C9B3488CE5461455CCFD0D","1792","1","Agent/99_Legacy_Context/Raw_Markdown/Apex/00_Coordination/Skill_MCP_Catalog.md"
"Apex","00_Coordination\Startup_Prompt_For_New_Codex_Window.md","90DD44C43A712A7301405CEBDE338B625E4C6BE48F3A58EC034868A2CE03D85F","988","1","Agent/99_Legacy_Context/Raw_Markdown/Apex/00_Coordination/Startup_Prompt_For_New_Codex_Window.md"
"Apex","00_Coordination\Subagent_Review_Checklist.md","861F33F972FCB94ECD2C795DE304DB1914C92A9F7E35539F72EF8A0CFB469597","2802","1","Agent/99_Legacy_Context/Raw_Markdown/Apex/00_Coordination/Subagent_Review_Checklist.md"
"Apex","00_Coordination\Task_Backlog.md","68CE44E681B72F06E1A7449FBCC16D97749A718D4CBD4FC1FDB2330EA3C8EB36","3946","1","Agent/99_Legacy_Context/Raw_Markdown/Apex/00_Coordination/Task_Backlog.md"
"Apex","00_Coordination\Tooling_Guide.md","964157D570560C0CD3F5293016CD31C387F7BD6718C704AA5F0DAD8124FD057E","8050","1","Agent/99_Legacy_Context/Raw_Markdown/Apex/00_Coordination/Tooling_Guide.md"
"Apex","00_Coordination\Working_Agreement.md","E6AE22B1C61DE125A88207B84BCFC3BB417B46D4B907D31E2C66DE26FCE4A4F3","10043","1","Agent/99_Legacy_Context/Raw_Markdown/Apex/00_Coordination/Working_Agreement.md"
"Apex","01_ProjectAudit\README.md","99F2321C41147F2E0F412750696749A96CF0E58D8801024A215E879D39143589","468","1","Agent/99_Legacy_Context/Raw_Markdown/Apex/01_ProjectAudit/README.md"
"Apex","02_SkillSystem\Apex_Inherited_Skill_Context.md","072FC048E2910BC906C87640BFC999FAF493900E0DBABB413A1D14B8D4A5F9AD","6215","1","Agent/99_Legacy_Context/Raw_Markdown/Apex/02_SkillSystem/Apex_Inherited_Skill_Context.md"
"Apex","02_SkillSystem\Combat_Foundation_RFC.md","D2965664459F682B238A973714FA4A86BA84D31B50DD12C66F10D0D76F5B49F2","21099","3","Agent/99_Legacy_Context/Raw_Markdown/Apex/02_SkillSystem/Combat_Foundation_RFC.md"
"Apex","02_SkillSystem\Montage_GameplayEvent_Timing_Decision.md","99F9D646A7AB0029B249B0EC1B3430C80B288E8ACCB635EB77FAB6CABBA78D3B","2682","3","Agent/99_Legacy_Context/Raw_Markdown/Apex/02_SkillSystem/Montage_GameplayEvent_Timing_Decision.md"
"Apex","02_SkillSystem\README.md","5D98E81E7AF33A3E956AF4FE0BFEBC1858BE8371FB27822CD1E567E7B849E30B","951","1","Agent/99_Legacy_Context/Raw_Markdown/Apex/02_SkillSystem/README.md"
"Apex","02_SkillSystem\Skill_Runbooks\Phase_EnergyBolt_Design.md","A07FDEBB6B6260866ED0079440FD97601D048F4FE28EE1F25C64F76AE7EDD216","7075","1","Agent/99_Legacy_Context/Raw_Markdown/Apex/02_SkillSystem/Skill_Runbooks/Phase_EnergyBolt_Design.md"
"Apex","02_SkillSystem\Skill_Runtime_Risk_Checklist.md","4918869C404E392E515FDE36426ECF27FA8C37DE7309FC09EAD183A8F55C9B3D","6678","3","Agent/99_Legacy_Context/Raw_Markdown/Apex/02_SkillSystem/Skill_Runtime_Risk_Checklist.md"
"Apex","03_SkillEditor\README.md","1BAD2FBF9947AFC717F0D74A2C1BD6F01D3837F168204B35C5B3562CC2CD6F43","504","1","Agent/99_Legacy_Context/Raw_Markdown/Apex/03_SkillEditor/README.md"
"Apex","03_SkillEditor\Skill_Editor_Vision.md","29B0150CDBB4B6E60DC816F1F41D2652554B175AD25B4103074240002AF83E69","1169","3","Agent/99_Legacy_Context/Raw_Markdown/Apex/03_SkillEditor/Skill_Editor_Vision.md"
"Apex","90_References\AttributeSet_Best_Practices\Lyra_AttributeSet_Best_Practices_Summary.md","93011045DC6606A583B1173A3AB91433CDAEC15EE66922A5AF0D02692A983132","12430","1","Agent/99_Legacy_Context/Raw_Markdown/Apex/90_References/AttributeSet_Best_Practices/Lyra_AttributeSet_Best_Practices_Summary.md"
"Apex","90_References\External_Reference_Index.md","937AE64AE4DFE31A0FAFA4F43C2182FD9A3CCD7039DE01996D459D42546D30FA","1917","1","Agent/99_Legacy_Context/Raw_Markdown/Apex/90_References/External_Reference_Index.md"
"Apex","90_References\UE_GAS_SkillGraph_Design_Document.md","83DC88BF3D40446A244928918BF045761B0375D30AAA6EE993B19B759FF8BAC9","155169","3","Agent/99_Legacy_Context/Raw_Markdown/Apex/90_References/UE_GAS_SkillGraph_Design_Document.md"
"Apex","90_References\UE_GAS_SkillGraph_Design_Review.md","B08962D5F20E20791F70FB13E17A4727F26154681AF599F3277E2122B9BDEEC0","10678","3","Agent/99_Legacy_Context/Raw_Markdown/Apex/90_References/UE_GAS_SkillGraph_Design_Review.md"
"Apex","Aura_Legacy_Archive\00_Coordination\Decision_Log.md","CD396BA1689F7528006EA000A7B377DC304E47D53F31420E3C3935A5EDD627A6","12333","2","Agent/99_Legacy_Context/Raw_Markdown/Aura/00_Coordination/Decision_Log.md"
